TurbID,DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
6,2020/10/9 16:15,5.6,18020,264,13.9,14,847,6.3,19394,19394
6,2020/10/9 16:30,5.5,17429,263,13.8,14,847,6,19626,19626
6,2020/10/9 16:45,5.5,16837,262,13.7,15,846,6.3,22395,22395
6,2020/10/9 17:00,5.4,16246,260,13.6,15,846,6.4,23013,23013
6,2020/10/9 17:15,5.3,15331,261,13.3,15,846,6.3,21826,21826
6,2020/10/9 17:30,5.1,14093,262,12.9,16,846,6.7,25116,25116
6,2020/10/9 17:45,5,12854,264,12.5,17,847,6.3,21451,21451
6,2020/10/9 18:00,4.9,11616,265,12.1,18,847,6.2,19311,19311
6,2020/10/9 18:15,4.8,10730,266,11.6,19,847,5,12410,12410
6,2020/10/9 18:30,4.7,10195,266,11,20,847,3.5,5216,5216
6,2020/10/9 18:45,4.5,9661,265,10.5,22,847,3.4,4836,4836
6,2020/10/9 19:00,4.4,9126,265,9.9,23,847,4.2,7737,7737
6,2020/10/9 19:15,4.2,8766,262,9.5,24,847,4,7416,7416
6,2020/10/9 19:30,4.1,8579,257,9.2,24,847,3.3,4324,4324
6,2020/10/9 19:45,3.9,8392,252,8.9,24,847,3.1,3703,3703
6,2020/10/9 20:00,3.8,8205,247,8.6,24,847,3,3622,3622
6,2020/10/9 20:15,3.8,8462,242,8.4,25,847,2.9,3036,3036
6,2020/10/9 20:30,4,9165,237,8.1,26,847,3,2897,2897
6,2020/10/9 20:45,4.2,9868,232,7.8,27,847,3.9,6294,6294
6,2020/10/9 21:00,4.5,10571,228,7.5,28,847,4.1,8463,8463
6,2020/10/9 21:15,4.9,11435,226,7.2,29,847,4.4,8411,8411
6,2020/10/9 21:30,5.3,12460,226,7.1,29,847,4.5,10020,10020
6,2020/10/9 21:45,5.7,13486,226,6.9,30,848,4.8,11770,11770
6,2020/10/9 22:00,6.2,14511,226,6.8,30,848,4.7,11305,11305
6,2020/10/9 22:15,6.5,15419,226,6.7,30,848,4.8,11702,11702
6,2020/10/9 22:30,6.7,16209,227,6.6,29,848,4.4,9965,9965
6,2020/10/9 22:45,6.8,16998,229,6.5,29,848,4.1,8867,8867
6,2020/10/9 23:00,7,17788,230,6.4,28,848,4.1,7743,7743
6,2020/10/9 23:15,7,18288,231,6.4,28,848,3.6,5963,5963
6,2020/10/9 23:30,6.8,18498,233,6.3,27,848,3.5,5641,
6,2020/10/9 23:45,6.7,18708,235,6.2,27,848,4.4,9430,
6,2020/10/10 0:00,7.9,20884,239,6.3,31,847,4.8,11717,
6,2020/10/10 0:15,8,21127,238,6.2,31,847,4.9,12062,
6,2020/10/10 0:30,7.9,20762,239,6.1,32,847,5.4,14000,
6,2020/10/10 0:45,7.9,20397,240,6,32,847,5.3,14483,
6,2020/10/10 1:00,7.8,20032,240,5.9,33,847,5.4,16127,
6,2020/10/10 1:15,7.7,19509,240,5.7,33,847,4.8,12377,
6,2020/10/10 1:30,7.6,18826,241,5.5,34,847,5.2,14473,
6,2020/10/10 1:45,7.4,18143,242,5.4,35,847,4.6,10495,
6,2020/10/10 2:00,7.2,17460,242,5.2,36,847,3.9,6957,
6,2020/10/10 2:15,7,16754,243,5,36,847,4,7553,
6,2020/10/10 2:30,6.8,16024,244,4.9,37,847,3.7,5513,
6,2020/10/10 2:45,6.5,15295,245,4.7,37,846,3.6,5476,
6,2020/10/10 3:00,6.3,14565,247,4.6,38,846,2.9,3207,
6,2020/10/10 3:15,5.9,13743,249,4.3,39,846,2.8,2172,
6,2020/10/10 3:30,5.4,12828,255,4,40,846,2.7,1834,
6,2020/10/10 3:45,4.9,11913,262,3.6,41,846,2.4,1114,
6,2020/10/10 4:00,4.5,10998,270,3.3,42,846,2.1,404,
6,2020/10/10 4:15,4.1,10267,277,3.2,42,846,2,134,
6,2020/10/10 4:30,3.8,9720,287,3.4,41,846,1.7,-89,
6,2020/10/10 4:45,3.6,9173,297,3.6,40,846,1.9,-110,
6,2020/10/10 5:00,3.5,8626,309,3.8,39,846,1.7,-96,
6,2020/10/10 5:15,3.3,8041,314,4.1,38,846,2.2,93,
6,2020/10/10 5:30,2.9,7420,314,4.4,37,846,2.9,1888,
6,2020/10/10 5:45,2.5,6799,313,4.7,35,846,2.1,686,
6,2020/10/10 6:00,2.1,6178,313,5,34,846,2.2,749,
6,2020/10/10 6:15,1.8,5731,313,5.4,32,846,2,500,
6,2020/10/10 6:30,1.6,5459,320,5.8,31,846,1.6,-10,
6,2020/10/10 6:45,1.3,5187,328,6.2,30,847,1.7,-61,
6,2020/10/10 7:00,1.2,4915,340,6.6,29,847,1.7,-81,
6,2020/10/10 7:15,1.2,4541,351,6.8,28,847,1.8,-47,
6,2020/10/10 7:30,1.4,4064,0,6.9,28,847,2.1,-12,
6,2020/10/10 7:45,1.5,3588,8,7,27,847,2.3,62,
6,2020/10/10 8:00,1.8,3111,16,7.1,27,847,2.6,580,
6,2020/10/10 8:15,2,2787,24,7.1,27,847,2.3,789,
6,2020/10/10 8:30,2.1,2614,31,7.1,27,847,2.4,378,
6,2020/10/10 8:45,2.4,2441,38,7.1,28,847,1.8,-22,
6,2020/10/10 9:00,2.6,2268,43,7.1,28,847,1.7,-77,
6,2020/10/10 9:15,2.8,2272,48,7.2,28,847,1.9,-60,
6,2020/10/10 9:30,2.8,2453,51,7.4,27,847,2.1,-72,
6,2020/10/10 9:45,2.9,2634,52,7.6,26,847,2.1,-65,
6,2020/10/10 10:00,2.9,2815,55,7.8,25,847,1.8,43,
6,2020/10/10 10:15,3,2992,53,8,25,847,1,-44,
6,2020/10/10 10:30,3,3163,48,8.2,24,847,1,-33,
6,2020/10/10 10:45,3,3334,40,8.3,23,847,1.6,-31,
6,2020/10/10 11:00,3,3505,34,8.5,22,847,2,-43,
6,2020/10/10 11:15,3.2,3723,30,8.6,22,847,3.9,997,
6,2020/10/10 11:30,3.5,3988,27,8.6,22,847,3.9,7056,
6,2020/10/10 11:45,3.8,4254,25,8.7,21,847,4.9,12347,
6,2020/10/10 12:00,4,4519,23,8.7,21,847,4.7,10616,
6,2020/10/10 12:15,4,4668,23,8.7,21,847,4.3,8897,
6,2020/10/10 12:30,3.9,4699,26,8.7,21,847,3.2,4242,
6,2020/10/10 12:45,3.8,4730,28,8.8,21,846,2.9,2938,
6,2020/10/10 13:00,3.7,4761,31,8.8,21,846,2.7,2159,
6,2020/10/10 13:15,3.6,4956,34,8.9,21,846,2.8,2537,
6,2020/10/10 13:30,3.6,5315,37,9.2,21,846,3,2732,
6,2020/10/10 13:45,3.8,5674,42,9.5,20,845,3.8,6512,
6,2020/10/10 14:00,3.8,6033,45,9.8,20,845,3.1,4104,
6,2020/10/10 14:15,3.8,6562,47,10,20,845,2.8,2808,
6,2020/10/10 14:30,3.8,7259,47,10.2,20,845,2.5,1728,
6,2020/10/10 14:45,3.8,7956,48,10.4,20,845,2.4,845,
6,2020/10/10 15:00,3.8,8653,48,10.6,20,845,2.7,1072,
6,2020/10/10 15:15,3.9,9268,44,10.7,20,845,3.5,4431,
6,2020/10/10 15:30,4.2,9799,38,10.7,20,845,5.6,15527,
6,2020/10/10 15:45,4.5,10330,33,10.6,21,845,7.9,38381,
6,2020/10/10 16:00,4.9,10861,29,10.6,21,845,15.5,87619,
6,2020/10/10 16:15,5.3,11960,28,10.5,21,845,12.7,87838,
6,2020/10/10 16:30,5.8,13628,30,10.2,22,845,10.6,78897,
6,2020/10/10 16:45,6.2,15297,31,9.9,22,845,8.8,56025,
6,2020/10/10 17:00,6.7,16965,33,9.6,23,845,9.1,57544,
6,2020/10/10 17:15,7,18226,35,9.2,23,845,8.3,45637,
6,2020/10/10 17:30,7.1,19080,37,8.8,24,845,7.7,38531,
6,2020/10/10 17:45,7.3,19934,39,8.4,25,845,8.1,40431,
6,2020/10/10 18:00,7.5,20788,41,8,26,845,9.8,67483,
6,2020/10/10 18:15,7.6,20947,40,7.6,26,845,10.5,79060,
6,2020/10/10 18:30,7.6,20410,38,7.2,26,845,10.5,78257,
6,2020/10/10 18:45,7.7,19873,35,6.9,27,846,7.3,37188,
6,2020/10/10 19:00,7.7,19336,33,6.5,27,846,6.3,24213,
6,2020/10/10 19:15,7.8,18909,32,6.1,27,846,5.6,17788,
6,2020/10/10 19:30,7.9,18590,31,5.6,26,846,5.6,18324,
6,2020/10/10 19:45,7.9,18271,31,5.2,25,847,5,14262,
6,2020/10/10 20:00,7.9,17952,31,4.7,24,847,3.3,3368,
6,2020/10/10 20:15,7.8,17196,32,4.4,24,847,3.7,4981,
6,2020/10/10 20:30,7.5,16001,35,4.1,24,847,4.5,13282,
6,2020/10/10 20:45,7.4,14806,37,3.8,23,848,6.9,32518,
6,2020/10/10 21:00,7.2,13611,40,3.5,23,848,6.5,28356,
6,2020/10/10 21:15,6.9,12502,43,3.2,23,848,5.9,21793,
6,2020/10/10 21:30,6.5,11477,45,3,23,848,5.4,17807,
6,2020/10/10 21:45,6.2,10453,48,2.9,24,848,4.4,10395,
