TurbID,DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
1,2020/1/21 0:00,3.4,11824,120,3.6,95,1008,3.5,5773,5685
1,2020/1/21 0:15,3.3,11063,121,3.6,95,1008,3.7,6584,6142
1,2020/1/21 0:30,3.3,10300,123,3.6,95,1008,3.7,6501,6569
1,2020/1/21 0:45,3.5,9536,123,3.7,95,1007,4,9272,8868
1,2020/1/21 1:00,3.5,8773,125,3.7,95,1007,3.9,7858,8478
1,2020/1/21 1:15,3.5,8014,125,3.7,95,1007,3,1855,2504
1,2020/1/21 1:30,3.5,7260,127,3.6,96,1007,3,775,663
1,2020/1/21 1:45,3.4,6505,128,3.6,96,1007,4,8718,6991
1,2020/1/21 2:00,3.4,5751,130,3.5,97,1007,4.5,16420,17491
1,2020/1/21 2:15,3.2,4958,131,3.5,97,1007,3.4,5547,6868
1,2020/1/21 2:30,2.8,4126,129,3.4,97,1007,2.9,-30,-59
1,2020/1/21 2:45,2.5,3295,127,3.3,98,1007,2.6,-93,-242
1,2020/1/21 3:00,2.2,2463,124,3.2,98,1007,3,43,-187
1,2020/1/21 3:15,1.9,1876,122,3.1,98,1007,2.4,-135,-261
1,2020/1/21 3:30,1.6,1535,117,3.1,98,1007,2.4,-156,-262
1,2020/1/21 3:45,1.4,1194,107,3,98,1007,2.4,-85,-219
1,2020/1/21 4:00,1.1,853,95,3,98,1007,2.5,36,-124
1,2020/1/21 4:15,1,677,96,3,98,1007,2.3,51,-110
1,2020/1/21 4:30,0.9,667,103,3,98,1007,2.3,-76,-252
1,2020/1/21 4:45,1,657,114,2.9,99,1007,2.6,54,-153
1,2020/1/21 5:00,0.9,647,122,2.9,99,1007,3,1238,1384
1,2020/1/21 5:15,1,641,127,2.9,99,1007,3.3,2614,2356
1,2020/1/21 5:30,0.9,638,131,3,99,1007,3.4,4147,4142
1,2020/1/21 5:45,0.8,635,130,3.1,98,1007,3.2,1996,1753
1,2020/1/21 6:00,0.7,632,135,3.2,98,1007,3.1,2004,2020
1,2020/1/21 6:15,0.6,625,135,3.2,98,1007,3.1,2200,2023
1,2020/1/21 6:30,0.5,615,112,3.2,98,1007,2.9,878,1019
1,2020/1/21 6:45,0.6,606,90,3.2,98,1007,2.7,-95,-226
1,2020/1/21 7:00,0.7,596,82,3.2,98,1007,2.7,-1,-108
1,2020/1/21 7:15,0.7,597,74,3.3,98,1007,2.9,110,-145
1,2020/1/21 7:30,0.9,609,69,3.4,98,1007,3.4,1271,923
1,2020/1/21 7:45,0.9,620,63,3.5,97,1007,3.3,2454,2468
1,2020/1/21 8:00,1,632,61,3.6,97,1007,3.4,3044,2847
1,2020/1/21 8:15,1.1,661,56,3.8,97,1007,3.6,4357,4189
1,2020/1/21 8:30,1.2,708,48,4,96,1007,3.9,5615,5740
1,2020/1/21 8:45,1.3,754,42,4.3,95,1007,2.8,864,1052
1,2020/1/21 9:00,1.5,801,37,4.5,94,1007,2.7,334,232
1,2020/1/21 9:15,1.6,781,35,4.8,92,1007,3,-65,-57
1,2020/1/21 9:30,1.7,694,33,5.3,91,1007,2.3,-116,-267
1,2020/1/21 9:45,1.6,608,30,5.8,89,1007,2.1,-117,-286
1,2020/1/21 10:00,1.7,521,28,6.3,88,1007,2.1,-96,-265
1,2020/1/21 10:15,1.6,492,27,6.8,86,1007,1.6,-82,-264
1,2020/1/21 10:30,1.3,521,29,7.3,85,1007,1.7,-98,-284
1,2020/1/21 10:45,1,550,24,7.8,83,1007,1.8,-94,-248
1,2020/1/21 11:00,0.7,579,27,8.3,82,1007,1.7,-115,-293
1,2020/1/21 11:15,0.4,667,27,8.7,80,1007,1.7,-75,-260
1,2020/1/21 11:30,0.2,816,27,9.2,78,1007,1.2,-108,-261
1,2020/1/21 11:45,0.1,964,0,9.6,77,1006,1.4,-98,-260
1,2020/1/21 12:00,0,1113,0,10.1,75,1006,1.7,-83,-261
1,2020/1/21 12:15,0.1,1296,225,10.6,73,1006,1.8,-106,-289
1,2020/1/21 12:30,0.2,1515,243,11.1,71,1006,1.8,-97,-263
1,2020/1/21 12:45,0.4,1734,243,11.6,69,1006,1.9,-129,-288
1,2020/1/21 13:00,0.5,1953,248,12.1,67,1006,2.2,-77,-260
1,2020/1/21 13:15,0.7,2161,254,12.4,65,1006,2.3,-110,-259
1,2020/1/21 13:30,0.8,2359,263,12.7,63,1006,2.3,-104,-248
1,2020/1/21 13:45,1,2558,264,12.9,62,1005,2.3,-108,-263
1,2020/1/21 14:00,1.1,2756,270,13.2,60,1005,2.6,-107,-284
1,2020/1/21 14:15,1.2,2824,270,13.3,59,1005,2.6,-154,-290
1,2020/1/21 14:30,1.2,2763,270,13.4,58,1005,1.9,-144,-278
1,2020/1/21 14:45,1.1,2702,270,13.5,57,1005,2.2,-75,-245
1,2020/1/21 15:00,1.1,2641,275,13.6,56,1005,2.5,-106,-272
1,2020/1/21 15:15,1.1,2515,275,13.6,55,1005,2.5,-130,-307
1,2020/1/21 15:30,1,2326,270,13.5,56,1005,2.6,-88,-257
1,2020/1/21 15:45,0.9,2136,270,13.4,57,1005,2.6,-108,-277
1,2020/1/21 16:00,0.8,1947,263,13.3,58,1005,3,-138,-267
1,2020/1/21 16:15,0.8,1877,256,13.1,58,1005,2.6,-108,-284
1,2020/1/21 16:30,0.9,1927,252,12.8,59,1005,2.5,-81,-227
1,2020/1/21 16:45,1,1978,246,12.5,60,1005,2.4,-106,-254
1,2020/1/21 17:00,1.1,2028,243,12.2,61,1005,2.4,-104,-265
1,2020/1/21 17:15,1.3,2134,241,11.8,62,1005,2.7,-89,-245
1,2020/1/21 17:30,1.3,2295,243,11.4,63,1005,2.6,-232,-380
1,2020/1/21 17:45,1.4,2456,245,11,64,1006,2.5,-119,-312
1,2020/1/21 18:00,1.5,2617,247,10.6,65,1006,2.7,-142,-318
1,2020/1/21 18:15,1.5,2818,247,10.3,67,1006,2.7,38,-180
1,2020/1/21 18:30,1.6,3059,243,10.1,68,1006,2.8,-4,-188
1,2020/1/21 18:45,1.5,3301,242,9.8,69,1006,2.7,90,42
1,2020/1/21 19:00,1.5,3542,238,9.6,70,1006,2.7,317,81
1,2020/1/21 19:15,1.6,3868,235,9.3,71,1006,2.9,1113,652
1,2020/1/21 19:30,1.6,4278,232,8.8,74,1006,3.3,3855,3592
1,2020/1/21 19:45,1.8,4687,232,8.3,76,1006,3.3,5145,5024
1,2020/1/21 20:00,1.8,5097,229,7.8,79,1006,3.6,5940,5836
1,2020/1/21 20:15,1.9,5377,231,7.5,81,1006,3.5,6121,6064
